gene_name	description	ebi_biotype
PF3D7-0100100	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0100200	RIF_PIR_protein	protein_coding
PF3D7-0100300	VAR_erythrocyte_membrane_protein_1%2C_PfEMP1	protein_coding
PF3D7-0100400	RIF_PIR_protein	protein_coding
PF3D7-0100500	erythrocyte_membrane_protein_1_(PfEMP1)%2C_exon_1%2C_pseudogene	pseudogene
PF3D7-0100600	RIF_PIR_protein	protein_coding
PF3D7-0100700	Plasmodium_exported_protein%2C_unknown_function%2C_fragment	protein_coding
PF3D7-0100800	RIF_PIR_protein	protein_coding
PF3D7-0100900	RIF_PIR_protein	protein_coding
PF3D7-0101000	RIF_PIR_protein	protein_coding
PF3D7-0101100	EPF4_Plasmodium_exported_protein_(hyp5)%2C_unknown_function	protein_coding
PF3D7-0101200	EPF3_Plasmodium_exported_protein_(hyp4)%2C_unknown_function	protein_coding
PF3D7-0101300	MC-2TM_Pfmc-2TM_Maurer's_cleft_two_transmembrane_protein	protein_coding
PF3D7-0101400	EPF1_exported_protein_family_1%2C_pseudogene	pseudogene
PF3D7-0101500	VAR_erythrocyte_membrane_protein_1_(PfEMP1)%2C_exon_2%2C_pseudogene	pseudogene
PF3D7-0101600	RIF_PIR_protein	protein_coding
PF3D7-0101700	VAR_erythrocyte_membrane_protein_1_(PfEMP1)%2C_exon_2%2C_pseudogene	pseudogene
PF3D7-0101800	PIR_protein	protein_coding
PF3D7-0101900	RIF_PIR_protein	protein_coding
PF3D7-0102000	Plasmodium_exported_protein_(PHISTa)%2C_unknown_function%2C_pseudogene	pseudogene
PF3D7-0102100	PIR_protein%2C_pseudogene	pseudogene
PF3D7-0102200	RESA_ring-infected_erythrocyte_surface_antigen	protein_coding
PF3D7-0102300	Plasmodium_exported_protein%2C_unknown_function	protein_coding
PF3D7-0102400	lysophospholipase%2C_putative%2C_pseudogene	pseudogene
PF3D7-0102500	EBA181_erythrocyte_binding_antigen-181	protein_coding
PF3D7-0102600	FIKK1_serine/threonine_protein_kinase%2C_FIKK_family	protein_coding
PF3D7-0102700	MaTrA_merozoite-associated_tryptophan-rich_antigen	protein_coding
PF3D7-0102800	seipin_domain-containing_protein%2C_putative	protein_coding
PF3D7-0102900	aspartyl-tRNA_synthetase	protein_coding
PF3D7-0103000	vacuolar_protein_sorting-associated_protein_VTA1%2C_putative	protein_coding
PF3D7-0103100	VPS51_vacuolar_protein_sorting-associated_protein_51%2C_putative	protein_coding
PF3D7-0103200	NT4_nucleoside_transporter_4	protein_coding
PF3D7-0103300	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0103400	zinc-carboxypeptidase%2C_putative	protein_coding
PF3D7-0103500	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0103600	PSH1_parasite_specific_helicase_1	protein_coding
PF3D7-0103700	PSTK_L-seryl-tRNA(Sec)_kinase%2C_putative	protein_coding
PF3D7-0103800	ARP1_actin-related_protein_ARP1%2C_putative	protein_coding
PF3D7-0103900	PIESP15_parasite-infected_erythrocyte_surface_protein	protein_coding
PF3D7-0104000	TRSP_sporozoite_stage_TSP1_domain_protein	protein_coding
PF3D7-0104100	prominin-like_protein	protein_coding
PF3D7-0104200	StAR-related_lipid_transfer_protein	protein_coding
PF3D7-0104300	UBP1_ubiquitin_carboxyl-terminal_hydrolase_1%2C_putative	protein_coding
PF3D7-0104400	LytB_4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase	protein_coding
PF3D7-0104500	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0104600	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0104700	MFR2_apicomplexan_amino_acid_transporter_ApiAT9	protein_coding
PF3D7-0104800	NPT1_apicomplexan_amino_acid_transporter_ApiAT8	protein_coding
PF3D7-0104900	RNase_MRP	ncRNA
PF3D7-0105000	non-coding_RNA	ncRNA
PF3D7-0105100	conserved_Apicomplexan_protein%2C_unknown_function	protein_coding
PF3D7-0105200	RAP1_heptatricopeptide_repeat_and_RAP_domain-containing_protein%2C_putative	protein_coding
PF3D7-0105300	CAP_cyclase-associated_protein	protein_coding
PF3D7-0105400	conserved_Plasmodium_protein%2C_unknown_function	protein_coding
PF3D7-0105500	conserved_protein%2C_unknown_function	protein_coding
PF3D7-0105600	FtsJ-like_methyltransferase%2C_putative	protein_coding
PF3D7-0105700	asparagine-rich_antigen_Pfa35-2	protein_coding
